User_ID,Age,Gender,Workouts_per_Week,Avg_Session_Duration_Min,Steps_per_Day,Subscription_Type,Churned
85,41,Male,2,57.7,4590,Free,1
86,18,Male,0,29,3063,Premium,0
87,25,Female,6,34.5,6324,Free,1
88,41,Female,2,30.5,12787,Free,0
89,28,Female,3,66.6,11111,Premium,0
90,34,Female,1,34.5,7342,Free,0
91,25,Female,6,42.9,2005,Free,0
92,52,Female,1,36,9489,Free,1
93,52,Male,4,40.4,10659,Free,1
94,50,Female,1,33.9,14362,Free,0
95,22,Female,4,51.9,10195,Premium,0
96,59,Male,5,29.4,7966,Free,0
97,56,Male,6,24.7,10837,Free,0
98,58,Male,6,36.6,2117,Free,0
99,45,Male,0,33,13120,Free,0
100,24,Female,3,24.9,4551,Premium,0
101,26,Female,4,40.1,7560,Free,0
102,25,Female,0,20.1,6289,Free,0
103,29,Female,1,70.9,2846,Premium,0
104,51,Female,1,22.6,12954,Free,0
105,50,Female,0,35.3,8316,Free,0
106,40,Male,6,38.9,8469,Free,0
107,41,Female,1,70.3,11333,Free,0
108,54,Male,5,19,12002,Free,0
109,52,Male,5,47.1,10915,Free,0
110,57,Female,0,60.6,2224,Premium,0
111,39,Male,4,40.4,14819,Free,0
112,44,Female,4,27.5,6208,Free,0
113,52,Male,0,43.4,8283,Premium,0
114,18,Female,4,67.9,14846,Free,0
115,52,Male,6,35.8,4048,Premium,0
116,54,Female,6,66.5,8233,Free,0
117,31,Female,4,48.9,14941,Free,0
118,20,Female,5,63.5,14607,Premium,0
119,18,Female,4,48.3,11765,Free,0
120,22,Female,6,37.7,3828,Free,0
121,43,Male,2,69.6,3917,Free,0
122,31,Male,3,48.4,6234,Free,0
123,56,Male,1,47.5,8988,Premium,0
124,44,Female,2,57.1,4026,Free,0
125,26,Male,4,58.9,5744,Free,0
126,32,Female,5,57.2,11093,Free,0
127,32,Female,0,24.7,14977,Premium,0
128,43,Male,4,35.4,12231,Free,0
129,59,Male,5,35.2,2009,Premium,0
130,30,Female,3,33.3,2260,Free,1
131,49,Male,4,31.9,8038,Premium,0
132,56,Female,6,34.9,11865,Premium,0
133,49,Female,0,50,4219,Premium,0
134,21,Female,5,52.4,9041,Premium,0
135,47,Female,5,45,4060,Free,0
136,54,Female,5,38.6,7287,Free,0
137,40,Male,3,64.1,13905,Free,0
138,56,Male,4,43.6,3619,Free,0
139,32,Female,3,59.1,10512,Free,0
140,46,Female,1,36.5,3342,Free,0
141,53,Male,1,51.2,12568,Free,0
142,30,Male,4,65.1,4832,Free,0
143,49,Female,6,5.9,4824,Premium,0
144,24,Male,3,35.2,3994,Free,1
145,39,Female,0,53.9,13150,Premium,0
146,45,Male,5,63.2,12230,Premium,0
147,19,Female,5,48,5490,Premium,0
148,59,Male,4,45.7,13869,Premium,0
149,23,Female,6,69.2,11310,Premium,0
150,45,Male,1,64.1,9984,Premium,0
151,45,Male,1,32,3604,Premium,1
152,37,Female,5,46.7,14219,Free,0
153,47,Male,4,50.4,2235,Free,1
154,28,Female,3,70.8,12161,Free,0
155,45,Male,1,58,14621,Free,0
156,42,Female,3,43.4,3908,Premium,0
157,56,Male,6,48.3,10567,Premium,0
158,50,Female,1,16.7,5530,Premium,0
159,18,Male,1,59.5,7256,Free,0
160,44,Female,2,54.7,4635,Premium,0
161,30,Male,1,63.2,10162,Premium,0
162,58,Female,0,42.8,11762,Premium,0
163,20,Female,4,46.9,4560,Premium,0
164,56,Female,4,37.8,7415,Premium,0
165,23,Male,3,27.8,5391,Free,0
166,25,Female,6,36,13157,Premium,0
167,44,Male,1,17.7,13835,Free,0
168,26,Female,0,58.7,7951,Free,0
169,54,Male,3,12.4,7468,Premium,0
170,50,Female,2,75.5,10007,Free,0
171,59,Male,3,18.5,14042,Premium,0
172,41,Male,3,67.5,11064,Free,0
173,32,Female,1,31.4,11444,Premium,0
174,49,Male,2,53.4,8413,Free,0
175,49,Male,3,33.7,8941,Premium,0
176,41,Female,0,70.1,11506,Premium,0
177,58,Male,0,45.7,6820,Free,0
178,29,Male,4,61.1,4898,Free,1
179,56,Male,2,46.1,9546,Premium,0
180,19,Female,2,50.3,2077,Free,0
181,20,Male,4,54.2,9577,Free,0
182,54,Female,3,37.1,12813,Free,0
183,34,Male,2,25.8,6227,Free,0
184,19,Male,0,25.5,2600,Premium,0
185,19,Male,0,45.8,3065,Premium,0
186,45,Female,1,37.7,4136,Free,1
187,40,Male,2,12.8,12641,Free,0
188,54,Male,3,52.7,12535,Premium,0
189,49,Female,4,26.7,12055,Free,0
190,50,Male,4,27.6,11510,Free,0
191,18,Female,3,44.4,14903,Premium,0
192,36,Female,6,31.5,13789,Premium,0
193,19,Male,5,46.8,8943,Premium,0
194,43,Female,1,74.6,13954,Premium,0
195,49,Male,4,39.3,9804,Free,0
196,23,Female,2,29.1,8565,Premium,0
197,49,Female,1,47.7,7984,Free,0
198,21,Male,2,33.4,7142,Free,0
199,28,Female,6,45.4,6670,Free,0
200,34,Female,0,49.7,4190,Free,1
